id,nome,marca,genero,familia_olfativa,notas_olfativas,ocasiao,preco,imagem_path,corpus
1,Malbec Tradicional,O Boticário,masculino,amadeirado aromatico,bergamota lavanda cedro vetiver patchouli,noturno formal,189.9,imagens/01_malbec_tradicional,amadeirado aromatico bergamota lavanda cedro vetiver patchouli noturno formal masculino
2,Malbec Black,O Boticário,masculino,amadeirado especiado,canela pimenta rosa cedro couro whisky,noturno inverno,179.9,imagens/02_malbec_black,amadeirado especiado canela pimenta rosa cedro couro whisky noturno inverno masculino
3,Lily Essence,O Boticário,feminino,floral,lirio rosa iris ambar baunilha,noturno formal,159.9,imagens/03_lily_essence,floral lirio rosa iris ambar baunilha noturno formal feminino
4,Lily Absolu,O Boticário,feminino,floral oriental,lirio jasmim patchouli baunilha ambar,noturno inverno,319.9,imagens/04_lily_absolu,floral oriental lirio jasmim patchouli baunilha ambar noturno inverno feminino
5,Coffee Man Duo,O Boticário,masculino,amadeirado aromatico,cafe bergamota gengibre patchouli sandalo,diurno casual,149.9,imagens/05_coffee_man_duo,amadeirado aromatico cafe bergamota gengibre patchouli sandalo diurno casual masculino
6,Coffee Woman Seduction,O Boticário,feminino,gourmand,cafe flor de laranjeira chocolate baunilha ambar,noturno casual,149.9,imagens/06_coffee_woman_seduction,gourmand cafe flor de laranjeira chocolate baunilha ambar noturno casual feminino
7,Floratta Rosas,O Boticário,feminino,floral,rosa pessego jasmim almiscar ambar,diurno casual,164.9,imagens/07_floratta_rosas,floral rosa pessego jasmim almiscar ambar diurno casual feminino
8,Floratta Blue,O Boticário,feminino,floral aquatico,violeta jasmim iris almiscar sandalo,diurno casual,164.9,imagens/08_floratta_blue,floral aquatico violeta jasmim iris almiscar sandalo diurno casual feminino
9,Egeo Dolce,O Boticário,feminino,gourmand,pistache chantilly baunilha sandalo almiscar,diurno casual,149.9,imagens/09_egeo_dolce,gourmand pistache chantilly baunilha sandalo almiscar diurno casual feminino
10,Egeo Cherry Blast,O Boticário,feminino,floral oriental frutal,cereja caramelo baunilha framboesa bergamota,diurno casual,154.9,imagens/10_egeo_cherry_blast,floral oriental frutal cereja caramelo baunilha framboesa bergamota diurno casual feminino
11,Quasar,O Boticário,masculino,amadeirado aromatico,bergamota lavanda salvia cedro almiscar,diurno casual,139.9,imagens/11_quasar,amadeirado aromatico bergamota lavanda salvia cedro almiscar diurno casual masculino
12,Zaad Classic,O Boticário,masculino,amadeirado oriental,pimenta rosa cardamomo cedro ambar almiscar,noturno formal,229.9,imagens/12_zaad_classic,amadeirado oriental pimenta rosa cardamomo cedro ambar almiscar noturno formal masculino
13,Zaad Intenso,O Boticário,masculino,amadeirado oriental,cardamomo pimenta ebano couro ambar,noturno inverno,299.9,imagens/13_zaad_intenso,amadeirado oriental cardamomo pimenta ebano couro ambar noturno inverno masculino
14,Uomini,O Boticário,masculino,amadeirado aromatico,bergamota manjericao geranio cedro vetiver,diurno casual,139.9,imagens/14_uomini,amadeirado aromatico bergamota manjericao geranio cedro vetiver diurno casual masculino
15,Glamour Secrets Black,O Boticário,feminino,floral frutal,pera maca jasmim rosa patchouli,diurno casual,169.9,imagens/15_glamour_secrets_black,floral frutal pera maca jasmim rosa patchouli diurno casual feminino
16,Essencial Masculino,Natura,masculino,amadeirado,breu branco mate cumaru almiscar pau rosa,noturno formal,149.9,imagens/16_essencial_masculino,amadeirado breu branco mate cumaru almiscar pau rosa noturno formal masculino
17,Essencial Exclusivo Feminino,Natura,feminino,floral amadeirado,rosa jasmim breu ambar patchouli,noturno formal,169.9,imagens/17_essencial_exclusivo_feminino,floral amadeirado rosa jasmim breu ambar patchouli noturno formal feminino
18,Kaiak Masculino,Natura,masculino,aromatico,bergamota limao geranio lavanda almiscar,diurno casual,129.9,imagens/18_kaiak_masculino,aromatico bergamota limao geranio lavanda almiscar diurno casual masculino
19,Kaiak Feminino,Natura,feminino,citrico floral,limao laranja jasmim rosa almiscar,diurno verao,129.9,imagens/19_kaiak_feminino,citrico floral limao laranja jasmim rosa almiscar diurno verao feminino
20,Humor Feminino,Natura,feminino,floral frutal,pessego framboesa jasmim magnolia almiscar,diurno casual,129.9,imagens/20_humor_feminino,floral frutal pessego framboesa jasmim magnolia almiscar diurno casual feminino
21,Una Deo Parfum,Natura,feminino,floral oriental,tuberosa jasmim baunilha patchouli ambar,noturno formal,219.9,imagens/21_una_deo_parfum,floral oriental tuberosa jasmim baunilha patchouli ambar noturno formal feminino
22,Una Artisan,Natura,feminino,chipre floral,rosa iris patchouli musgo ambar,noturno formal,299.9,imagens/22_una_artisan,chipre floral rosa iris patchouli musgo ambar noturno formal feminino
23,Kriska Drama,Natura,feminino,oriental baunilha,baunilha caramelo patchouli frutas vermelhas ambar,noturno casual,119.9,imagens/23_kriska_drama,oriental baunilha baunilha caramelo patchouli frutas vermelhas ambar noturno casual feminino
24,Biografia Masculino,Natura,masculino,amadeirado,pimenta gengibre cumaru sandalo ambar,noturno casual,139.9,imagens/24_biografia_masculino,amadeirado pimenta gengibre cumaru sandalo ambar noturno casual masculino
25,Homem Natura,Natura,masculino,amadeirado aromatico,bergamota lavanda cedro pau rosa almiscar,diurno formal,139.9,imagens/25_homem_natura,amadeirado aromatico bergamota lavanda cedro pau rosa almiscar diurno formal masculino
26,Ilia,Natura,feminino,floral,flor de laranjeira iris ambar almiscar sandalo,diurno casual,159.9,imagens/26_ilia,floral flor de laranjeira iris ambar almiscar sandalo diurno casual feminino
27,Todo Dia Cereja e Avela,Natura,feminino,floral frutal gourmand,cereja avela baunilha jasmim chocolate,diurno casual,79.9,imagens/27_todo_dia_cereja_e_avela,floral frutal gourmand cereja avela baunilha jasmim chocolate diurno casual feminino
28,Niina Secrets Bloom,Eudora,feminino,floral,rosa peonia jasmim almiscar madeira,diurno casual,179.9,imagens/28_niina_secrets_bloom,floral rosa peonia jasmim almiscar madeira diurno casual feminino
29,Eudora Rose,Eudora,feminino,chipre frutal,champanhe rose pera maca rosa patchouli,noturno formal,219.9,imagens/29_eudora_rose,chipre frutal champanhe rose pera maca rosa patchouli noturno formal feminino
30,Eudora H Flow,Eudora,masculino,aromatico fougere aquatico,bergamota notas aquosas pimenta rosa sal vetiver,diurno verao,179.9,imagens/30_eudora_h_flow,aromatico fougere aquatico bergamota notas aquosas pimenta rosa sal vetiver diurno verao masculino
31,Malbec Gold,O Boticário,masculino,amadeirado oriental,cardamomo cumaru baunilha ambar cedro,noturno inverno,219.9,imagens/31_malbec_gold,amadeirado oriental cardamomo cumaru baunilha ambar cedro noturno inverno masculino
32,Malbec Elegant,O Boticário,masculino,amadeirado aromatico,bergamota pimenta vetiver cedro ambar,noturno formal,209.9,imagens/32_malbec_elegant,amadeirado aromatico bergamota pimenta vetiver cedro ambar noturno formal masculino
33,Lyra Happy,Eudora,feminino,chipre frutal,framboesa bergamota magnolia rosa baunilha,diurno casual,189.9,imagens/33_lyra_happy,chipre frutal framboesa bergamota magnolia rosa baunilha diurno casual feminino
34,Malbec Icon,O Boticário,masculino,amadeirado aromatico,bergamota limao cardamomo patchouli cedro,noturno casual,199.9,imagens/34_malbec_icon,amadeirado aromatico bergamota limao cardamomo patchouli cedro noturno casual masculino
35,Kaiak Oceano Masculino,Natura,masculino,aromatico aquatico,algas marinhas pataqueira sal ambar madeira,diurno verao,139.9,imagens/35_kaiak_oceano_masculino,aromatico aquatico algas marinhas pataqueira sal ambar madeira diurno verao masculino
36,Little Black Dress,Avon,feminino,floral chipre,groselha pimenta jasmim patchouli almiscar,noturno formal,99.9,imagens/36_little_black_dress,floral chipre groselha pimenta jasmim patchouli almiscar noturno formal feminino
37,Far Away,Avon,feminino,oriental floral,tangerina freesia jasmim sandalo baunilha,noturno formal,89.9,imagens/37_far_away,oriental floral tangerina freesia jasmim sandalo baunilha noturno formal feminino
38,Luck for Him,Avon,masculino,amadeirado,bergamota gengibre cedro couro ambar,diurno formal,79.9,imagens/38_luck_for_him,amadeirado bergamota gengibre cedro couro ambar diurno formal masculino
39,Luck for Her,Avon,feminino,floral oriental,groselha peonia jasmim patchouli almiscar,noturno casual,79.9,imagens/39_luck_for_her,floral oriental groselha peonia jasmim patchouli almiscar noturno casual feminino
40,Today,Avon,feminino,floral,freesia lirio rosa sandalo almiscar,diurno formal,79.9,imagens/40_today,floral freesia lirio rosa sandalo almiscar diurno formal feminino
41,Full Speed,Avon,masculino,aromatico,bergamota cardamomo lavanda cedro almiscar,diurno casual,79.9,imagens/41_full_speed,aromatico bergamota cardamomo lavanda cedro almiscar diurno casual masculino
42,Derek,Avon,masculino,amadeirado aromatico,bergamota lavanda salvia vetiver almiscar,diurno casual,79.9,imagens/42_derek,amadeirado aromatico bergamota lavanda salvia vetiver almiscar diurno casual masculino
43,Kaiak Aventura Masculino,Natura,masculino,citrico aromatico,bergamota pimenta preta cardamomo sandalo almiscar,diurno casual,139.9,imagens/43_kaiak_aventura_masculino,citrico aromatico bergamota pimenta preta cardamomo sandalo almiscar diurno casual masculino
44,Kaiak Urbe Masculino,Natura,masculino,aromatico aquatico,limao bergamota copaiba ambar cedro,diurno casual,139.9,imagens/44_kaiak_urbe_masculino,aromatico aquatico limao bergamota copaiba ambar cedro diurno casual masculino
45,Kaiak Pulso Masculino,Natura,masculino,aromatico,bergamota gengibre pimenta cedro ambar,diurno casual,139.9,imagens/45_kaiak_pulso_masculino,aromatico bergamota gengibre pimenta cedro ambar diurno casual masculino
46,Kaiak O2 Masculino,Natura,masculino,aromatico aquatico,notas aquosas bergamota ambar marinho sandalo almiscar,diurno verao,139.9,imagens/46_kaiak_o2_masculino,aromatico aquatico notas aquosas bergamota ambar marinho sandalo almiscar diurno verao masculino
47,Granado Pink,Granado,feminino,floral,rosa peonia violeta almiscar madeira,diurno casual,69.9,imagens/47_granado_pink,floral rosa peonia violeta almiscar madeira diurno casual feminino
48,Bem Me Quero,Phebo,feminino,floral verde,folhas verdes limao peonia jasmim ylang ylang sandalo almiscar ambar cedro,noturno casual,290.0,imagens/48_bem_me_quero,floral verde folhas verdes limao peonia jasmim ylang ylang sandalo almiscar ambar cedro noturno casual feminino
49,Mahogany Flor de Cerejeira,Mahogany,feminino,floral,flor de cerejeira rosa violeta pessego almiscar,diurno casual,159.9,imagens/49_mahogany_flor_de_cerejeira,floral flor de cerejeira rosa violeta pessego almiscar diurno casual feminino
50,Mahogany Eau Intense,Mahogany,masculino,amadeirado,bergamota pimenta cedro couro ambar,noturno formal,149.9,imagens/50_mahogany_eau_intense,amadeirado bergamota pimenta cedro couro ambar noturno formal masculino
